time 	 generated degree 	 dcx value
0	51	2.99162e-71
1	66	1.16791e-71
2	32	1.78029e-70
3	83	5.33072e-72
4	1	1.77205e-64
5	54	2.41912e-71
6	79	6.27772e-72
7	47	4.06486e-71
8	87	4.57715e-72
9	88	4.41326e-72
10	16	2.7392e-69
11	60	1.64424e-71
12	29	2.61484e-70
13	48	3.75484e-71
14	64	1.30318e-71
15	71	9.03708e-72
16	23	6.50464e-70
17	7	7.39849e-68
18	52	2.78276e-71
19	30	2.29013e-70
20	31	2.01488e-70
21	53	2.59259e-71
22	22	7.75263e-70
23	3	2.18861e-66
24	16	2.7392e-69
25	84	5.12626e-72
26	87	4.57715e-72
27	2	1.1077e-65
28	59	1.74779e-71
29	71	9.03708e-72
30	44	5.21846e-71
31	31	2.01488e-70
32	6	1.36976e-67
33	31	2.01488e-70
34	2	1.1077e-65
35	38	9.14696e-71
36	76	7.1528e-72
37	82	5.54718e-72
38	26	4.01321e-70
39	59	1.74779e-71
40	83	5.33072e-72
41	52	2.78276e-71
42	77	6.84299e-72
43	1	1.77205e-64
44	51	2.99162e-71
45	26	4.01321e-70
46	81	5.77652e-72
47	66	1.16791e-71
48	1	1.77205e-64
49	64	1.30318e-71
50	24	5.49957e-70
51	41	6.83192e-71
52	31	2.01488e-70
53	21	9.31777e-70
54	85	4.933e-72
55	79	6.27772e-72
56	44	5.21846e-71
57	65	1.23304e-71
58	89	4.25792e-72
59	80	6.01969e-72
60	70	9.49465e-72
61	31	2.01488e-70
62	64	1.30318e-71
63	61	1.54871e-71
64	16	2.7392e-69
65	55	2.26059e-71
66	45	4.79166e-71
67	6	1.36976e-67
68	59	1.74779e-71
69	70	9.49465e-72
70	60	1.64424e-71
71	75	7.48266e-72
72	77	6.84299e-72
73	14	4.65872e-69
74	48	3.75484e-71
75	1	1.77205e-64
76	28	3.00015e-70
77	45	4.79166e-71
78	30	2.29013e-70
79	9	2.71188e-68
80	38	9.14696e-71
81	63	1.37881e-71
82	51	2.99162e-71
83	57	1.98241e-71
84	63	1.37881e-71
85	68	1.05099e-71
86	52	2.78276e-71
87	42	6.23057e-71
88	29	2.61484e-70
89	70	9.49465e-72
90	90	4.11059e-72
91	68	1.05099e-71
92	53	2.59259e-71
93	88	4.41326e-72
94	36	1.12698e-70
95	17	2.15296e-69
96	37	1.01377e-70
97	41	6.83192e-71
98	13	6.25762e-69
99	76	7.1528e-72
100	58	1.8602e-71
101	52	2.78276e-71
102	33	1.57935e-70
103	36	1.12698e-70
104	14	4.65872e-69
105	72	8.60933e-72
106	9	2.71188e-68
107	45	4.79166e-71
108	14	4.65872e-69
109	49	3.47485e-71
110	76	7.1528e-72
111	67	1.10735e-71
112	56	2.11547e-71
113	12	8.60807e-69
114	76	7.1528e-72
115	12	8.60807e-69
116	11	1.21773e-68
117	69	9.98463e-72
118	73	8.20907e-72
119	40	7.50996e-71
120	24	5.49957e-70
121	19	1.38486e-69
122	6	1.36976e-67
123	80	6.01969e-72
124	32	1.78029e-70
125	31	2.01488e-70
126	45	4.79166e-71
127	76	7.1528e-72
128	76	7.1528e-72
129	84	5.12626e-72
130	35	1.25683e-70
131	72	8.60933e-72
132	41	6.83192e-71
133	29	2.61484e-70
134	26	4.01321e-70
135	45	4.79166e-71
136	18	1.71599e-69
137	13	6.25762e-69
138	30	2.29013e-70
139	41	6.83192e-71
140	64	1.30318e-71
141	50	3.22145e-71
142	19	1.38486e-69
143	80	6.01969e-72
144	42	6.23057e-71
145	66	1.16791e-71
146	31	2.01488e-70
147	32	1.78029e-70
148	89	4.25792e-72
149	86	4.75019e-72
150	70	9.49465e-72
151	54	2.41912e-71
152	12	8.60807e-69
153	17	2.15296e-69
154	5	2.83874e-67
155	32	1.78029e-70
156	46	4.40892e-71
157	69	9.98463e-72
158	50	3.22145e-71
159	47	4.06486e-71
160	39	8.27681e-71
161	77	6.84299e-72
162	39	8.27681e-71
163	33	1.57935e-70
164	7	7.39849e-68
165	69	9.98463e-72
166	13	6.25762e-69
167	19	1.38486e-69
168	87	4.57715e-72
169	42	6.23057e-71
170	16	2.7392e-69
171	20	1.13022e-69
172	38	9.14696e-71
173	36	1.12698e-70
174	41	6.83192e-71
175	13	6.25762e-69
176	3	2.18861e-66
177	67	1.10735e-71
178	51	2.99162e-71
179	53	2.59259e-71
180	64	1.30318e-71
181	76	7.1528e-72
182	44	5.21846e-71
183	70	9.49465e-72
184	40	7.50996e-71
185	90	4.11059e-72
186	61	1.54871e-71
187	83	5.33072e-72
188	2	1.1077e-65
189	84	5.12626e-72
190	38	9.14696e-71
191	79	6.27772e-72
192	19	1.38486e-69
193	72	8.60933e-72
194	86	4.75019e-72
195	81	5.77652e-72
196	81	5.77652e-72
197	32	1.78029e-70
198	89	4.25792e-72
199	34	1.40638e-70
200	18	1.71599e-69
201	7	7.39849e-68
202	20	1.13022e-69
203	74	7.83415e-72
204	3	2.18861e-66
205	62	1.46045e-71
206	41	6.83192e-71
207	61	1.54871e-71
208	21	9.31777e-70
209	62	1.46045e-71
210	73	8.20907e-72
211	28	3.00015e-70
