time 	 generated degree 	 dcx value
0	34	1.40638e-70
1	11	1.21773e-68
2	20	1.13022e-69
3	74	7.83415e-72
4	56	2.11547e-71
5	25	4.68271e-70
6	43	5.69564e-71
7	61	1.54871e-71
8	79	6.27772e-72
9	29	2.61484e-70
10	26	4.01321e-70
11	9	2.71188e-68
12	18	1.71599e-69
13	17	2.15296e-69
14	58	1.8602e-71
15	58	1.8602e-71
16	55	2.26059e-71
17	30	2.29013e-70
18	75	7.48266e-72
19	74	7.83415e-72
20	31	2.01488e-70
21	89	4.25792e-72
22	83	5.33072e-72
23	40	7.50996e-71
24	10	1.78098e-68
25	22	7.75263e-70
26	81	5.77652e-72
27	79	6.27772e-72
28	75	7.48266e-72
29	31	2.01488e-70
30	27	3.46022e-70
31	64	1.30318e-71
32	38	9.14696e-71
33	78	6.55175e-72
34	89	4.25792e-72
35	24	5.49957e-70
36	8	4.34016e-68
37	2	1.1077e-65
38	81	5.77652e-72
39	52	2.78276e-71
40	58	1.8602e-71
41	21	9.31777e-70
42	49	3.47485e-71
43	13	6.25762e-69
44	30	2.29013e-70
45	60	1.64424e-71
46	17	2.15296e-69
47	81	5.77652e-72
48	72	8.60933e-72
49	72	8.60933e-72
50	46	4.40892e-71
51	73	8.20907e-72
52	78	6.55175e-72
53	67	1.10735e-71
54	75	7.48266e-72
55	79	6.27772e-72
56	22	7.75263e-70
57	88	4.41326e-72
58	54	2.41912e-71
59	16	2.7392e-69
60	22	7.75263e-70
61	18	1.71599e-69
62	40	7.50996e-71
63	30	2.29013e-70
64	17	2.15296e-69
65	46	4.40892e-71
66	7	7.39849e-68
67	61	1.54871e-71
68	50	3.22145e-71
69	1	1.77205e-64
70	24	5.49957e-70
71	76	7.1528e-72
72	69	9.98463e-72
73	11	1.21773e-68
74	5	2.83874e-67
75	33	1.57935e-70
76	47	4.06486e-71
77	87	4.57715e-72
78	52	2.78276e-71
79	18	1.71599e-69
80	25	4.68271e-70
81	53	2.59259e-71
82	10	1.78098e-68
83	53	2.59259e-71
84	31	2.01488e-70
85	8	4.34016e-68
86	87	4.57715e-72
87	71	9.03708e-72
88	45	4.79166e-71
89	25	4.68271e-70
90	43	5.69564e-71
91	22	7.75263e-70
92	9	2.71188e-68
93	45	4.79166e-71
94	47	4.06486e-71
95	37	1.01377e-70
96	80	6.01969e-72
97	7	7.39849e-68
98	65	1.23304e-71
99	40	7.50996e-71
100	40	7.50996e-71
101	23	6.50464e-70
102	36	1.12698e-70
103	33	1.57935e-70
104	47	4.06486e-71
105	80	6.01969e-72
106	30	2.29013e-70
107	87	4.57715e-72
108	9	2.71188e-68
109	11	1.21773e-68
110	71	9.03708e-72
111	60	1.64424e-71
112	77	6.84299e-72
113	64	1.30318e-71
114	40	7.50996e-71
115	73	8.20907e-72
116	35	1.25683e-70
117	64	1.30318e-71
118	56	2.11547e-71
119	17	2.15296e-69
120	62	1.46045e-71
121	4	6.92736e-67
122	39	8.27681e-71
123	24	5.49957e-70
124	43	5.69564e-71
125	35	1.25683e-70
126	44	5.21846e-71
127	87	4.57715e-72
128	18	1.71599e-69
129	81	5.77652e-72
130	44	5.21846e-71
131	68	1.05099e-71
132	36	1.12698e-70
133	89	4.25792e-72
134	43	5.69564e-71
135	70	9.49465e-72
136	51	2.99162e-71
137	54	2.41912e-71
138	16	2.7392e-69
139	88	4.41326e-72
140	62	1.46045e-71
141	66	1.16791e-71
142	20	1.13022e-69
143	32	1.78029e-70
144	34	1.40638e-70
145	60	1.64424e-71
146	83	5.33072e-72
147	58	1.8602e-71
148	46	4.40892e-71
149	90	4.11059e-72
150	61	1.54871e-71
151	3	2.18861e-66
152	39	8.27681e-71
153	81	5.77652e-72
154	68	1.05099e-71
155	50	3.22145e-71
156	43	5.69564e-71
157	12	8.60807e-69
158	57	1.98241e-71
159	10	1.78098e-68
160	4	6.92736e-67
161	44	5.21846e-71
162	73	8.20907e-72
163	74	7.83415e-72
164	46	4.40892e-71
165	87	4.57715e-72
166	90	4.11059e-72
167	41	6.83192e-71
168	28	3.00015e-70
169	52	2.78276e-71
170	76	7.1528e-72
171	38	9.14696e-71
172	54	2.41912e-71
173	87	4.57715e-72
174	53	2.59259e-71
175	88	4.41326e-72
176	64	1.30318e-71
177	47	4.06486e-71
178	70	9.49465e-72
179	59	1.74779e-71
180	67	1.10735e-71
181	60	1.64424e-71
182	54	2.41912e-71
183	29	2.61484e-70
184	73	8.20907e-72
185	87	4.57715e-72
186	79	6.27772e-72
187	33	1.57935e-70
188	57	1.98241e-71
189	13	6.25762e-69
190	50	3.22145e-71
191	14	4.65872e-69
192	80	6.01969e-72
193	86	4.75019e-72
194	59	1.74779e-71
195	1	1.77205e-64
196	90	4.11059e-72
197	11	1.21773e-68
198	62	1.46045e-71
199	12	8.60807e-69
200	84	5.12626e-72
201	42	6.23057e-71
202	56	2.11547e-71
203	87	4.57715e-72
204	24	5.49957e-70
205	59	1.74779e-71
206	62	1.46045e-71
207	31	2.01488e-70
208	76	7.1528e-72
209	10	1.78098e-68
210	36	1.12698e-70
211	6	1.36976e-67
212	14	4.65872e-69
213	61	1.54871e-71
