time 	 generated degree 	 dcx value
0	85	1.9732e-73
1	20	4.52088e-71
2	65	4.93217e-73
3	21	3.72711e-71
4	6	5.47903e-69
5	60	6.57695e-73
6	78	2.6207e-73
7	48	1.50193e-72
8	39	3.31073e-72
9	22	3.10105e-71
10	10	7.12394e-70
11	48	1.50193e-72
12	1	7.08821e-66
13	71	3.61483e-73
14	64	5.21273e-73
15	38	3.65878e-72
16	12	3.44323e-70
17	82	2.21887e-73
18	85	1.9732e-73
19	68	4.20395e-73
20	33	6.31738e-72
21	69	3.99385e-73
22	67	4.42941e-73
23	85	1.9732e-73
24	86	1.90008e-73
25	19	5.53946e-71
26	24	2.19983e-71
27	25	1.87308e-71
28	28	1.20006e-71
29	71	3.61483e-73
30	13	2.50305e-70
31	30	9.1605e-72
32	87	1.83086e-73
33	1	7.08821e-66
34	61	6.19482e-73
35	56	8.46188e-73
36	4	2.77094e-68
37	55	9.04236e-73
38	79	2.51109e-73
39	12	3.44323e-70
40	81	2.31061e-73
41	18	6.86396e-71
42	60	6.57695e-73
43	45	1.91666e-72
44	29	1.04594e-71
45	73	3.28363e-73
46	62	5.8418e-73
47	71	3.61483e-73
48	27	1.38409e-71
49	1	7.08821e-66
50	65	4.93217e-73
51	24	2.19983e-71
52	41	2.73277e-72
53	63	5.51523e-73
54	60	6.57695e-73
55	78	2.6207e-73
56	46	1.76357e-72
57	48	1.50193e-72
58	30	9.1605e-72
59	7	2.9594e-69
60	8	1.73607e-69
61	87	1.83086e-73
62	88	1.7653e-73
63	88	1.7653e-73
64	31	8.05952e-72
65	19	5.53946e-71
66	25	1.87308e-71
67	66	4.67164e-73
68	2	4.43081e-67
69	64	5.21273e-73
70	81	2.31061e-73
71	12	3.44323e-70
72	44	2.08739e-72
73	11	4.87094e-70
74	80	2.40788e-73
75	28	1.20006e-71
76	53	1.03704e-72
77	16	1.09568e-70
78	11	4.87094e-70
79	74	3.13366e-73
80	71	3.61483e-73
81	7	2.9594e-69
82	32	7.12118e-72
83	5	1.1355e-68
84	32	7.12118e-72
85	42	2.49223e-72
86	89	1.70317e-73
87	86	1.90008e-73
88	23	2.60185e-71
89	29	1.04594e-71
90	16	1.09568e-70
91	55	9.04236e-73
92	80	2.40788e-73
93	71	3.61483e-73
94	22	3.10105e-71
95	15	1.41616e-70
96	63	5.51523e-73
97	60	6.57695e-73
98	12	3.44323e-70
99	35	5.02733e-72
100	62	5.8418e-73
101	53	1.03704e-72
102	22	3.10105e-71
103	26	1.60528e-71
104	13	2.50305e-70
105	2	4.43081e-67
106	74	3.13366e-73
107	70	3.79786e-73
108	90	1.64424e-73
109	26	1.60528e-71
110	25	1.87308e-71
111	15	1.41616e-70
112	44	2.08739e-72
113	57	7.92962e-73
114	9	1.08475e-69
115	24	2.19983e-71
116	71	3.61483e-73
117	27	1.38409e-71
118	16	1.09568e-70
119	34	5.62552e-72
120	19	5.53946e-71
121	30	9.1605e-72
122	80	2.40788e-73
123	60	6.57695e-73
124	54	9.67647e-73
125	67	4.42941e-73
126	47	1.62594e-72
127	19	5.53946e-71
128	88	1.7653e-73
129	82	2.21887e-73
130	60	6.57695e-73
131	12	3.44323e-70
132	26	1.60528e-71
133	81	2.31061e-73
134	82	2.21887e-73
135	76	2.86112e-73
136	11	4.87094e-70
137	57	7.92962e-73
138	81	2.31061e-73
139	23	2.60185e-71
140	57	7.92962e-73
141	19	5.53946e-71
142	55	9.04236e-73
143	40	3.00398e-72
144	19	5.53946e-71
145	13	2.50305e-70
146	28	1.20006e-71
147	70	3.79786e-73
148	62	5.8418e-73
149	4	2.77094e-68
150	60	6.57695e-73
151	53	1.03704e-72
152	19	5.53946e-71
153	20	4.52088e-71
154	16	1.09568e-70
155	3	8.75444e-68
156	35	5.02733e-72
157	23	2.60185e-71
158	58	7.44079e-73
159	6	5.47903e-69
