time 	 generated degree 	 dcx value
0	7	7.39849e-70
1	16	2.7392e-71
2	56	2.11547e-73
3	50	3.22145e-73
4	3	2.18861e-68
5	6	1.36976e-69
6	75	7.48266e-74
7	68	1.05099e-73
8	36	1.12698e-72
9	72	8.60933e-74
10	21	9.31777e-72
11	59	1.74779e-73
12	73	8.20907e-74
13	55	2.26059e-73
14	66	1.16791e-73
15	24	5.49957e-72
16	70	9.49465e-74
17	77	6.84299e-74
18	55	2.26059e-73
19	20	1.13022e-71
20	1	1.77205e-66
21	56	2.11547e-73
22	65	1.23304e-73
23	81	5.77652e-74
24	40	7.50996e-73
25	12	8.60807e-71
26	42	6.23057e-73
27	80	6.01969e-74
28	58	1.8602e-73
29	10	1.78098e-70
30	89	4.25792e-74
31	74	7.83415e-74
32	1	1.77205e-66
33	86	4.75019e-74
34	35	1.25683e-72
35	88	4.41326e-74
36	33	1.57935e-72
37	87	4.57715e-74
38	79	6.27772e-74
39	76	7.1528e-74
40	21	9.31777e-72
41	11	1.21773e-70
42	22	7.75263e-72
43	21	9.31777e-72
44	77	6.84299e-74
45	56	2.11547e-73
46	33	1.57935e-72
47	48	3.75484e-73
48	5	2.83874e-69
49	69	9.98463e-74
50	36	1.12698e-72
51	54	2.41912e-73
52	6	1.36976e-69
53	70	9.49465e-74
54	43	5.69564e-73
55	52	2.78276e-73
56	47	4.06486e-73
57	18	1.71599e-71
58	56	2.11547e-73
59	48	3.75484e-73
60	82	5.54718e-74
61	18	1.71599e-71
62	31	2.01488e-72
63	74	7.83415e-74
64	38	9.14696e-73
65	24	5.49957e-72
66	4	6.92736e-69
67	26	4.01321e-72
68	26	4.01321e-72
69	44	5.21846e-73
70	5	2.83874e-69
71	5	2.83874e-69
72	62	1.46045e-73
73	31	2.01488e-72
74	13	6.25762e-71
75	86	4.75019e-74
76	28	3.00015e-72
77	62	1.46045e-73
78	13	6.25762e-71
79	90	4.11059e-74
80	23	6.50464e-72
81	52	2.78276e-73
82	8	4.34016e-70
83	57	1.98241e-73
84	80	6.01969e-74
85	70	9.49465e-74
86	2	1.1077e-67
87	70	9.49465e-74
88	79	6.27772e-74
89	32	1.78029e-72
90	16	2.7392e-71
91	61	1.54871e-73
92	84	5.12626e-74
93	21	9.31777e-72
94	33	1.57935e-72
95	39	8.27681e-73
96	7	7.39849e-70
97	25	4.68271e-72
98	1	1.77205e-66
99	67	1.10735e-73
100	33	1.57935e-72
101	12	8.60807e-71
102	37	1.01377e-72
103	60	1.64424e-73
104	61	1.54871e-73
105	57	1.98241e-73
106	56	2.11547e-73
107	24	5.49957e-72
108	66	1.16791e-73
109	26	4.01321e-72
110	2	1.1077e-67
111	59	1.74779e-73
112	66	1.16791e-73
113	35	1.25683e-72
114	17	2.15296e-71
115	59	1.74779e-73
116	17	2.15296e-71
117	1	1.77205e-66
118	12	8.60807e-71
119	38	9.14696e-73
120	77	6.84299e-74
121	2	1.1077e-67
122	65	1.23304e-73
123	64	1.30318e-73
124	7	7.39849e-70
125	74	7.83415e-74
126	56	2.11547e-73
127	87	4.57715e-74
128	31	2.01488e-72
129	7	7.39849e-70
130	71	9.03708e-74
131	15	3.54041e-71
132	17	2.15296e-71
133	62	1.46045e-73
134	74	7.83415e-74
135	78	6.55175e-74
136	55	2.26059e-73
137	10	1.78098e-70
138	72	8.60933e-74
139	2	1.1077e-67
140	1	1.77205e-66
141	3	2.18861e-68
142	40	7.50996e-73
143	61	1.54871e-73
144	61	1.54871e-73
145	1	1.77205e-66
146	63	1.37881e-73
147	53	2.59259e-73
148	78	6.55175e-74
149	73	8.20907e-74
150	86	4.75019e-74
151	10	1.78098e-70
152	2	1.1077e-67
153	87	4.57715e-74
154	83	5.33072e-74
155	13	6.25762e-71
156	25	4.68271e-72
157	81	5.77652e-74
158	62	1.46045e-73
159	49	3.47485e-73
160	63	1.37881e-73
161	77	6.84299e-74
162	79	6.27772e-74
163	6	1.36976e-69
164	47	4.06486e-73
165	30	2.29013e-72
166	71	9.03708e-74
167	66	1.16791e-73
168	77	6.84299e-74
169	23	6.50464e-72
170	86	4.75019e-74
171	75	7.48266e-74
172	26	4.01321e-72
173	2	1.1077e-67
174	30	2.29013e-72
175	57	1.98241e-73
176	51	2.99162e-73
177	59	1.74779e-73
178	64	1.30318e-73
179	4	6.92736e-69
180	47	4.06486e-73
181	78	6.55175e-74
182	76	7.1528e-74
183	64	1.30318e-73
184	23	6.50464e-72
185	61	1.54871e-73
186	72	8.60933e-74
187	10	1.78098e-70
188	75	7.48266e-74
189	83	5.33072e-74
190	26	4.01321e-72
191	75	7.48266e-74
192	12	8.60807e-71
193	26	4.01321e-72
194	20	1.13022e-71
195	36	1.12698e-72
196	21	9.31777e-72
197	16	2.7392e-71
198	85	4.933e-74
199	29	2.61484e-72
200	73	8.20907e-74
201	63	1.37881e-73
202	65	1.23304e-73
203	47	4.06486e-73
204	66	1.16791e-73
205	9	2.71188e-70
206	53	2.59259e-73
207	44	5.21846e-73
208	33	1.57935e-72
209	43	5.69564e-73
210	44	5.21846e-73
211	28	3.00015e-72
212	38	9.14696e-73
213	59	1.74779e-73
214	54	2.41912e-73
215	48	3.75484e-73
216	49	3.47485e-73
217	61	1.54871e-73
218	27	3.46022e-72
219	4	6.92736e-69
220	77	6.84299e-74
221	37	1.01377e-72
222	83	5.33072e-74
223	80	6.01969e-74
224	44	5.21846e-73
225	1	1.77205e-66
226	63	1.37881e-73
227	34	1.40638e-72
228	3	2.18861e-68
229	63	1.37881e-73
230	20	1.13022e-71
231	76	7.1528e-74
232	77	6.84299e-74
233	28	3.00015e-72
234	64	1.30318e-73
235	5	2.83874e-69
236	74	7.83415e-74
237	56	2.11547e-73
238	22	7.75263e-72
239	80	6.01969e-74
240	43	5.69564e-73
241	83	5.33072e-74
242	55	2.26059e-73
243	46	4.40892e-73
244	26	4.01321e-72
245	32	1.78029e-72
246	28	3.00015e-72
247	39	8.27681e-73
248	38	9.14696e-73
249	17	2.15296e-71
250	53	2.59259e-73
251	4	6.92736e-69
252	80	6.01969e-74
253	70	9.49465e-74
254	71	9.03708e-74
255	61	1.54871e-73
256	60	1.64424e-73
257	15	3.54041e-71
258	38	9.14696e-73
259	42	6.23057e-73
260	74	7.83415e-74
261	37	1.01377e-72
262	23	6.50464e-72
263	2	1.1077e-67
264	74	7.83415e-74
265	79	6.27772e-74
266	73	8.20907e-74
267	7	7.39849e-70
268	53	2.59259e-73
269	49	3.47485e-73
270	50	3.22145e-73
271	53	2.59259e-73
272	2	1.1077e-67
273	48	3.75484e-73
274	15	3.54041e-71
275	73	8.20907e-74
276	52	2.78276e-73
277	1	1.77205e-66
278	46	4.40892e-73
279	39	8.27681e-73
280	90	4.11059e-74
281	29	2.61484e-72
282	82	5.54718e-74
283	55	2.26059e-73
284	53	2.59259e-73
285	39	8.27681e-73
286	79	6.27772e-74
287	59	1.74779e-73
288	8	4.34016e-70
289	20	1.13022e-71
290	42	6.23057e-73
291	34	1.40638e-72
292	81	5.77652e-74
293	68	1.05099e-73
294	25	4.68271e-72
295	39	8.27681e-73
296	60	1.64424e-73
297	65	1.23304e-73
298	64	1.30318e-73
299	49	3.47485e-73
300	80	6.01969e-74
301	81	5.77652e-74
302	26	4.01321e-72
303	34	1.40638e-72
304	1	1.77205e-66
305	48	3.75484e-73
306	17	2.15296e-71
307	74	7.83415e-74
308	66	1.16791e-73
309	44	5.21846e-73
310	72	8.60933e-74
311	38	9.14696e-73
312	54	2.41912e-73
313	26	4.01321e-72
314	10	1.78098e-70
315	76	7.1528e-74
316	13	6.25762e-71
317	64	1.30318e-73
318	38	9.14696e-73
319	59	1.74779e-73
320	90	4.11059e-74
321	38	9.14696e-73
322	32	1.78029e-72
323	88	4.41326e-74
324	36	1.12698e-72
325	58	1.8602e-73
326	69	9.98463e-74
327	17	2.15296e-71
328	59	1.74779e-73
329	73	8.20907e-74
330	41	6.83192e-73
331	58	1.8602e-73
332	49	3.47485e-73
333	64	1.30318e-73
334	12	8.60807e-71
335	51	2.99162e-73
336	7	7.39849e-70
337	67	1.10735e-73
338	76	7.1528e-74
339	3	2.18861e-68
340	5	2.83874e-69
341	90	4.11059e-74
342	77	6.84299e-74
343	5	2.83874e-69
344	39	8.27681e-73
345	31	2.01488e-72
346	57	1.98241e-73
347	84	5.12626e-74
