time 	 generated degree 	 dcx value
0	54	2.41912e-71
1	20	1.13022e-69
2	3	2.18861e-66
3	21	9.31777e-70
4	31	2.01488e-70
5	40	7.50996e-71
6	85	4.933e-72
7	11	1.21773e-68
8	81	5.77652e-72
9	47	4.06486e-71
10	62	1.46045e-71
11	51	2.99162e-71
12	71	9.03708e-72
13	90	4.11059e-72
14	31	2.01488e-70
15	67	1.10735e-71
16	43	5.69564e-71
17	13	6.25762e-69
18	69	9.98463e-72
19	18	1.71599e-69
20	10	1.78098e-68
21	67	1.10735e-71
22	78	6.55175e-72
23	17	2.15296e-69
24	10	1.78098e-68
25	71	9.03708e-72
26	38	9.14696e-71
27	50	3.22145e-71
28	31	2.01488e-70
29	2	1.1077e-65
30	58	1.8602e-71
31	10	1.78098e-68
32	86	4.75019e-72
33	37	1.01377e-70
34	41	6.83192e-71
35	89	4.25792e-72
36	68	1.05099e-71
37	36	1.12698e-70
38	41	6.83192e-71
39	11	1.21773e-68
40	72	8.60933e-72
41	54	2.41912e-71
42	65	1.23304e-71
43	60	1.64424e-71
44	2	1.1077e-65
45	49	3.47485e-71
46	4	6.92736e-67
47	48	3.75484e-71
48	45	4.79166e-71
49	89	4.25792e-72
50	13	6.25762e-69
51	66	1.16791e-71
52	58	1.8602e-71
53	28	3.00015e-70
54	34	1.40638e-70
55	26	4.01321e-70
56	30	2.29013e-70
57	16	2.7392e-69
58	8	4.34016e-68
59	13	6.25762e-69
60	69	9.98463e-72
61	73	8.20907e-72
62	25	4.68271e-70
63	72	8.60933e-72
64	11	1.21773e-68
65	54	2.41912e-71
66	33	1.57935e-70
67	49	3.47485e-71
68	75	7.48266e-72
69	80	6.01969e-72
70	42	6.23057e-71
71	28	3.00015e-70
72	34	1.40638e-70
73	34	1.40638e-70
74	33	1.57935e-70
75	54	2.41912e-71
76	31	2.01488e-70
77	67	1.10735e-71
78	48	3.75484e-71
79	58	1.8602e-71
80	64	1.30318e-71
81	13	6.25762e-69
82	21	9.31777e-70
83	74	7.83415e-72
84	24	5.49957e-70
85	45	4.79166e-71
86	40	7.50996e-71
87	64	1.30318e-71
88	43	5.69564e-71
89	55	2.26059e-71
90	52	2.78276e-71
91	60	1.64424e-71
92	66	1.16791e-71
93	5	2.83874e-67
94	28	3.00015e-70
95	81	5.77652e-72
96	54	2.41912e-71
97	75	7.48266e-72
98	73	8.20907e-72
99	23	6.50464e-70
100	12	8.60807e-69
101	81	5.77652e-72
102	70	9.49465e-72
103	60	1.64424e-71
104	66	1.16791e-71
105	61	1.54871e-71
106	24	5.49957e-70
107	43	5.69564e-71
108	62	1.46045e-71
109	45	4.79166e-71
110	61	1.54871e-71
111	43	5.69564e-71
112	77	6.84299e-72
113	64	1.30318e-71
114	14	4.65872e-69
115	83	5.33072e-72
116	75	7.48266e-72
117	39	8.27681e-71
118	76	7.1528e-72
119	53	2.59259e-71
120	55	2.26059e-71
121	48	3.75484e-71
122	88	4.41326e-72
123	11	1.21773e-68
124	50	3.22145e-71
125	22	7.75263e-70
126	52	2.78276e-71
127	21	9.31777e-70
128	6	1.36976e-67
129	23	6.50464e-70
130	13	6.25762e-69
131	22	7.75263e-70
132	59	1.74779e-71
133	39	8.27681e-71
134	20	1.13022e-69
135	78	6.55175e-72
136	67	1.10735e-71
137	66	1.16791e-71
138	64	1.30318e-71
139	44	5.21846e-71
140	77	6.84299e-72
141	83	5.33072e-72
142	82	5.54718e-72
143	37	1.01377e-70
144	56	2.11547e-71
145	55	2.26059e-71
146	29	2.61484e-70
147	3	2.18861e-66
148	80	6.01969e-72
149	39	8.27681e-71
150	37	1.01377e-70
151	85	4.933e-72
152	31	2.01488e-70
153	20	1.13022e-69
154	73	8.20907e-72
155	75	7.48266e-72
156	71	9.03708e-72
157	23	6.50464e-70
158	58	1.8602e-71
159	64	1.30318e-71
160	54	2.41912e-71
161	76	7.1528e-72
162	75	7.48266e-72
163	84	5.12626e-72
164	23	6.50464e-70
165	32	1.78029e-70
166	44	5.21846e-71
167	78	6.55175e-72
168	55	2.26059e-71
169	69	9.98463e-72
170	87	4.57715e-72
171	47	4.06486e-71
172	20	1.13022e-69
173	66	1.16791e-71
174	73	8.20907e-72
175	17	2.15296e-69
176	42	6.23057e-71
177	22	7.75263e-70
178	69	9.98463e-72
179	18	1.71599e-69
180	40	7.50996e-71
181	5	2.83874e-67
182	22	7.75263e-70
183	19	1.38486e-69
184	81	5.77652e-72
185	9	2.71188e-68
186	67	1.10735e-71
187	36	1.12698e-70
188	26	4.01321e-70
189	42	6.23057e-71
190	85	4.933e-72
191	73	8.20907e-72
