time 	 generated degree 	 dcx value
0	4	2.77094e-68
1	22	3.10105e-71
2	26	1.60528e-71
3	76	2.86112e-73
4	88	1.7653e-73
5	57	7.92962e-73
6	80	2.40788e-73
7	22	3.10105e-71
8	15	1.41616e-70
9	47	1.62594e-72
10	13	2.50305e-70
11	31	8.05952e-72
12	50	1.28858e-72
13	82	2.21887e-73
14	51	1.19665e-72
15	31	8.05952e-72
16	38	3.65878e-72
17	82	2.21887e-73
18	19	5.53946e-71
19	3	8.75444e-68
20	72	3.44373e-73
21	31	8.05952e-72
22	87	1.83086e-73
23	5	1.1355e-68
24	22	3.10105e-71
25	79	2.51109e-73
26	10	7.12394e-70
27	7	2.9594e-69
28	75	2.99306e-73
29	33	6.31738e-72
30	49	1.38994e-72
31	71	3.61483e-73
32	81	2.31061e-73
33	11	4.87094e-70
34	45	1.91666e-72
35	15	1.41616e-70
36	72	3.44373e-73
37	43	2.27826e-72
38	28	1.20006e-71
39	83	2.13229e-73
40	22	3.10105e-71
41	12	3.44323e-70
42	69	3.99385e-73
43	20	4.52088e-71
44	23	2.60185e-71
45	89	1.70317e-73
46	63	5.51523e-73
47	50	1.28858e-72
48	47	1.62594e-72
49	21	3.72711e-71
50	58	7.44079e-73
51	12	3.44323e-70
52	86	1.90008e-73
53	48	1.50193e-72
54	13	2.50305e-70
55	72	3.44373e-73
56	8	1.73607e-69
57	31	8.05952e-72
58	67	4.42941e-73
59	48	1.50193e-72
60	77	2.7372e-73
61	51	1.19665e-72
62	40	3.00398e-72
63	81	2.31061e-73
64	60	6.57695e-73
65	13	2.50305e-70
66	72	3.44373e-73
67	27	1.38409e-71
68	28	1.20006e-71
69	61	6.19482e-73
70	35	5.02733e-72
71	58	7.44079e-73
72	66	4.67164e-73
73	66	4.67164e-73
74	13	2.50305e-70
75	71	3.61483e-73
76	77	2.7372e-73
77	37	4.05507e-72
78	74	3.13366e-73
79	44	2.08739e-72
80	88	1.7653e-73
81	46	1.76357e-72
82	28	1.20006e-71
83	82	2.21887e-73
84	68	4.20395e-73
85	20	4.52088e-71
86	3	8.75444e-68
87	11	4.87094e-70
88	80	2.40788e-73
89	19	5.53946e-71
90	44	2.08739e-72
91	5	1.1355e-68
92	2	4.43081e-67
93	11	4.87094e-70
94	38	3.65878e-72
95	6	5.47903e-69
96	18	6.86396e-71
97	53	1.03704e-72
98	16	1.09568e-70
99	85	1.9732e-73
100	81	2.31061e-73
101	70	3.79786e-73
102	82	2.21887e-73
103	49	1.38994e-72
104	39	3.31073e-72
105	28	1.20006e-71
106	78	2.6207e-73
107	68	4.20395e-73
108	78	2.6207e-73
109	6	5.47903e-69
110	5	1.1355e-68
111	86	1.90008e-73
112	37	4.05507e-72
113	14	1.86349e-70
114	40	3.00398e-72
115	52	1.11311e-72
116	90	1.64424e-73
117	54	9.67647e-73
118	54	9.67647e-73
119	14	1.86349e-70
120	3	8.75444e-68
121	61	6.19482e-73
122	86	1.90008e-73
123	55	9.04236e-73
124	79	2.51109e-73
125	65	4.93217e-73
126	53	1.03704e-72
127	60	6.57695e-73
128	29	1.04594e-71
129	90	1.64424e-73
130	85	1.9732e-73
131	68	4.20395e-73
132	79	2.51109e-73
133	25	1.87308e-71
134	34	5.62552e-72
135	14	1.86349e-70
136	34	5.62552e-72
137	3	8.75444e-68
138	69	3.99385e-73
139	13	2.50305e-70
140	25	1.87308e-71
141	89	1.70317e-73
142	36	4.50791e-72
143	71	3.61483e-73
144	7	2.9594e-69
145	80	2.40788e-73
146	47	1.62594e-72
147	64	5.21273e-73
148	30	9.1605e-72
149	80	2.40788e-73
150	69	3.99385e-73
151	43	2.27826e-72
152	68	4.20395e-73
153	62	5.8418e-73
154	89	1.70317e-73
155	16	1.09568e-70
156	26	1.60528e-71
157	59	6.99116e-73
158	57	7.92962e-73
159	31	8.05952e-72
160	31	8.05952e-72
161	10	7.12394e-70
162	23	2.60185e-71
163	33	6.31738e-72
164	55	9.04236e-73
165	65	4.93217e-73
166	57	7.92962e-73
167	38	3.65878e-72
168	73	3.28363e-73
169	33	6.31738e-72
170	82	2.21887e-73
171	52	1.11311e-72
172	20	4.52088e-71
173	2	4.43081e-67
174	63	5.51523e-73
175	86	1.90008e-73
176	69	3.99385e-73
177	43	2.27826e-72
178	71	3.61483e-73
179	12	3.44323e-70
180	23	2.60185e-71
181	33	6.31738e-72
182	89	1.70317e-73
183	71	3.61483e-73
184	32	7.12118e-72
185	51	1.19665e-72
186	7	2.9594e-69
187	82	2.21887e-73
188	9	1.08475e-69
189	17	8.61184e-71
190	59	6.99116e-73
191	71	3.61483e-73
192	81	2.31061e-73
193	79	2.51109e-73
194	43	2.27826e-72
195	7	2.9594e-69
196	12	3.44323e-70
197	76	2.86112e-73
198	18	6.86396e-71
199	72	3.44373e-73
200	55	9.04236e-73
201	88	1.7653e-73
202	79	2.51109e-73
203	79	2.51109e-73
204	33	6.31738e-72
205	39	3.31073e-72
206	72	3.44373e-73
207	21	3.72711e-71
208	57	7.92962e-73
209	86	1.90008e-73
210	72	3.44373e-73
211	77	2.7372e-73
212	28	1.20006e-71
213	70	3.79786e-73
214	49	1.38994e-72
215	19	5.53946e-71
216	1	7.08821e-66
217	17	8.61184e-71
218	20	4.52088e-71
219	44	2.08739e-72
220	12	3.44323e-70
221	70	3.79786e-73
222	14	1.86349e-70
223	19	5.53946e-71
224	69	3.99385e-73
225	8	1.73607e-69
226	24	2.19983e-71
227	83	2.13229e-73
228	60	6.57695e-73
229	28	1.20006e-71
230	10	7.12394e-70
231	66	4.67164e-73
232	28	1.20006e-71
233	22	3.10105e-71
234	40	3.00398e-72
235	54	9.67647e-73
236	14	1.86349e-70
237	72	3.44373e-73
238	59	6.99116e-73
239	14	1.86349e-70
240	77	2.7372e-73
241	80	2.40788e-73
242	51	1.19665e-72
243	40	3.00398e-72
244	70	3.79786e-73
245	48	1.50193e-72
246	65	4.93217e-73
247	38	3.65878e-72
248	81	2.31061e-73
249	45	1.91666e-72
250	54	9.67647e-73
251	38	3.65878e-72
252	90	1.64424e-73
253	46	1.76357e-72
254	73	3.28363e-73
255	14	1.86349e-70
256	74	3.13366e-73
257	50	1.28858e-72
258	29	1.04594e-71
259	37	4.05507e-72
260	39	3.31073e-72
261	11	4.87094e-70
262	70	3.79786e-73
263	85	1.9732e-73
264	16	1.09568e-70
265	52	1.11311e-72
266	30	9.1605e-72
267	45	1.91666e-72
268	56	8.46188e-73
269	27	1.38409e-71
270	41	2.73277e-72
271	10	7.12394e-70
272	64	5.21273e-73
273	27	1.38409e-71
274	41	2.73277e-72
275	80	2.40788e-73
276	82	2.21887e-73
277	6	5.47903e-69
278	59	6.99116e-73
279	67	4.42941e-73
280	1	7.08821e-66
281	29	1.04594e-71
282	48	1.50193e-72
283	87	1.83086e-73
284	82	2.21887e-73
285	77	2.7372e-73
286	44	2.08739e-72
287	37	4.05507e-72
288	3	8.75444e-68
289	41	2.73277e-72
290	13	2.50305e-70
291	78	2.6207e-73
292	81	2.31061e-73
293	55	9.04236e-73
294	55	9.04236e-73
295	34	5.62552e-72
296	84	2.0505e-73
297	68	4.20395e-73
298	3	8.75444e-68
299	44	2.08739e-72
300	46	1.76357e-72
301	10	7.12394e-70
302	78	2.6207e-73
303	31	8.05952e-72
304	63	5.51523e-73
305	62	5.8418e-73
306	24	2.19983e-71
307	85	1.9732e-73
308	62	5.8418e-73
309	35	5.02733e-72
310	89	1.70317e-73
311	39	3.31073e-72
312	34	5.62552e-72
313	46	1.76357e-72
314	39	3.31073e-72
315	1	7.08821e-66
316	67	4.42941e-73
317	57	7.92962e-73
318	70	3.79786e-73
319	45	1.91666e-72
320	73	3.28363e-73
321	3	8.75444e-68
322	90	1.64424e-73
323	26	1.60528e-71
324	20	4.52088e-71
325	72	3.44373e-73
326	46	1.76357e-72
327	30	9.1605e-72
328	34	5.62552e-72
329	54	9.67647e-73
330	88	1.7653e-73
331	60	6.57695e-73
332	21	3.72711e-71
333	40	3.00398e-72
334	66	4.67164e-73
335	15	1.41616e-70
336	61	6.19482e-73
337	34	5.62552e-72
338	62	5.8418e-73
339	89	1.70317e-73
340	5	1.1355e-68
341	15	1.41616e-70
342	79	2.51109e-73
343	7	2.9594e-69
344	60	6.57695e-73
345	44	2.08739e-72
346	65	4.93217e-73
347	39	3.31073e-72
348	51	1.19665e-72
349	36	4.50791e-72
350	3	8.75444e-68
351	81	2.31061e-73
352	41	2.73277e-72
353	5	1.1355e-68
354	26	1.60528e-71
355	51	1.19665e-72
356	43	2.27826e-72
357	79	2.51109e-73
358	15	1.41616e-70
359	65	4.93217e-73
360	11	4.87094e-70
361	40	3.00398e-72
362	79	2.51109e-73
363	8	1.73607e-69
364	7	2.9594e-69
365	66	4.67164e-73
366	26	1.60528e-71
367	69	3.99385e-73
368	80	2.40788e-73
369	42	2.49223e-72
370	49	1.38994e-72
371	11	4.87094e-70
372	21	3.72711e-71
373	20	4.52088e-71
374	12	3.44323e-70
375	42	2.49223e-72
376	49	1.38994e-72
377	9	1.08475e-69
378	19	5.53946e-71
379	84	2.0505e-73
380	55	9.04236e-73
381	61	6.19482e-73
382	85	1.9732e-73
383	51	1.19665e-72
384	22	3.10105e-71
385	26	1.60528e-71
386	48	1.50193e-72
387	7	2.9594e-69
388	50	1.28858e-72
