time 	 generated degree 	 dcx value
0	53	2.59259e-73
1	18	1.71599e-71
2	13	6.25762e-71
3	80	6.01969e-74
4	37	1.01377e-72
5	66	1.16791e-73
6	57	1.98241e-73
7	81	5.77652e-74
8	48	3.75484e-73
9	2	1.1077e-67
10	64	1.30318e-73
11	38	9.14696e-73
12	32	1.78029e-72
13	62	1.46045e-73
14	37	1.01377e-72
15	58	1.8602e-73
16	34	1.40638e-72
17	13	6.25762e-71
18	59	1.74779e-73
19	71	9.03708e-74
20	84	5.12626e-74
21	12	8.60807e-71
22	58	1.8602e-73
23	6	1.36976e-69
24	77	6.84299e-74
25	50	3.22145e-73
26	79	6.27772e-74
27	6	1.36976e-69
28	77	6.84299e-74
29	18	1.71599e-71
30	36	1.12698e-72
31	10	1.78098e-70
32	21	9.31777e-72
33	9	2.71188e-70
34	75	7.48266e-74
35	88	4.41326e-74
36	69	9.98463e-74
37	8	4.34016e-70
38	33	1.57935e-72
39	83	5.33072e-74
40	25	4.68271e-72
41	24	5.49957e-72
42	85	4.933e-74
43	4	6.92736e-69
44	4	6.92736e-69
45	44	5.21846e-73
46	53	2.59259e-73
47	24	5.49957e-72
48	89	4.25792e-74
49	31	2.01488e-72
50	19	1.38486e-71
51	17	2.15296e-71
52	42	6.23057e-73
53	64	1.30318e-73
54	31	2.01488e-72
55	59	1.74779e-73
56	5	2.83874e-69
57	42	6.23057e-73
58	57	1.98241e-73
59	28	3.00015e-72
60	22	7.75263e-72
61	6	1.36976e-69
62	28	3.00015e-72
63	1	1.77205e-66
64	55	2.26059e-73
65	71	9.03708e-74
66	68	1.05099e-73
67	14	4.65872e-71
68	35	1.25683e-72
69	42	6.23057e-73
70	5	2.83874e-69
71	66	1.16791e-73
72	31	2.01488e-72
73	72	8.60933e-74
74	80	6.01969e-74
75	10	1.78098e-70
76	21	9.31777e-72
77	42	6.23057e-73
78	68	1.05099e-73
79	67	1.10735e-73
80	6	1.36976e-69
81	16	2.7392e-71
82	45	4.79166e-73
83	28	3.00015e-72
84	40	7.50996e-73
85	41	6.83192e-73
86	16	2.7392e-71
87	77	6.84299e-74
88	67	1.10735e-73
89	32	1.78029e-72
90	37	1.01377e-72
91	38	9.14696e-73
92	73	8.20907e-74
93	75	7.48266e-74
94	22	7.75263e-72
95	36	1.12698e-72
96	49	3.47485e-73
97	44	5.21846e-73
98	7	7.39849e-70
99	37	1.01377e-72
100	82	5.54718e-74
101	12	8.60807e-71
102	55	2.26059e-73
103	52	2.78276e-73
104	60	1.64424e-73
105	61	1.54871e-73
106	44	5.21846e-73
107	60	1.64424e-73
108	17	2.15296e-71
109	9	2.71188e-70
110	72	8.60933e-74
111	20	1.13022e-71
112	47	4.06486e-73
113	33	1.57935e-72
114	2	1.1077e-67
115	65	1.23304e-73
116	82	5.54718e-74
117	43	5.69564e-73
118	11	1.21773e-70
119	38	9.14696e-73
120	82	5.54718e-74
121	39	8.27681e-73
122	18	1.71599e-71
123	47	4.06486e-73
124	11	1.21773e-70
125	25	4.68271e-72
126	89	4.25792e-74
127	83	5.33072e-74
128	64	1.30318e-73
129	52	2.78276e-73
130	86	4.75019e-74
131	69	9.98463e-74
132	44	5.21846e-73
133	30	2.29013e-72
134	41	6.83192e-73
135	2	1.1077e-67
136	75	7.48266e-74
137	23	6.50464e-72
138	32	1.78029e-72
139	8	4.34016e-70
140	79	6.27772e-74
141	89	4.25792e-74
142	54	2.41912e-73
