time 	 generated degree 	 dcx value
0	39	8.27681e-73
1	56	2.11547e-73
2	3	2.18861e-68
3	24	5.49957e-72
4	86	4.75019e-74
5	24	5.49957e-72
6	50	3.22145e-73
7	45	4.79166e-73
8	31	2.01488e-72
9	26	4.01321e-72
10	16	2.7392e-71
11	20	1.13022e-71
12	22	7.75263e-72
13	67	1.10735e-73
14	65	1.23304e-73
15	85	4.933e-74
16	12	8.60807e-71
17	20	1.13022e-71
18	26	4.01321e-72
19	29	2.61484e-72
20	71	9.03708e-74
21	20	1.13022e-71
22	20	1.13022e-71
23	89	4.25792e-74
24	45	4.79166e-73
25	7	7.39849e-70
26	81	5.77652e-74
27	80	6.01969e-74
28	1	1.77205e-66
29	9	2.71188e-70
30	29	2.61484e-72
31	8	4.34016e-70
32	79	6.27772e-74
33	38	9.14696e-73
34	2	1.1077e-67
35	4	6.92736e-69
36	13	6.25762e-71
37	70	9.49465e-74
38	87	4.57715e-74
39	61	1.54871e-73
40	89	4.25792e-74
41	11	1.21773e-70
42	50	3.22145e-73
43	67	1.10735e-73
44	79	6.27772e-74
45	83	5.33072e-74
46	28	3.00015e-72
47	26	4.01321e-72
48	1	1.77205e-66
49	27	3.46022e-72
50	40	7.50996e-73
51	53	2.59259e-73
52	40	7.50996e-73
53	35	1.25683e-72
54	55	2.26059e-73
55	54	2.41912e-73
56	44	5.21846e-73
57	59	1.74779e-73
58	20	1.13022e-71
59	49	3.47485e-73
60	19	1.38486e-71
61	42	6.23057e-73
62	28	3.00015e-72
63	13	6.25762e-71
64	59	1.74779e-73
65	70	9.49465e-74
66	33	1.57935e-72
67	5	2.83874e-69
68	48	3.75484e-73
69	49	3.47485e-73
70	40	7.50996e-73
71	79	6.27772e-74
72	20	1.13022e-71
73	59	1.74779e-73
74	29	2.61484e-72
75	12	8.60807e-71
76	33	1.57935e-72
77	33	1.57935e-72
78	15	3.54041e-71
79	17	2.15296e-71
80	36	1.12698e-72
81	11	1.21773e-70
82	73	8.20907e-74
83	43	5.69564e-73
84	71	9.03708e-74
85	78	6.55175e-74
86	57	1.98241e-73
87	59	1.74779e-73
88	73	8.20907e-74
89	31	2.01488e-72
90	85	4.933e-74
91	43	5.69564e-73
92	18	1.71599e-71
93	90	4.11059e-74
94	49	3.47485e-73
95	23	6.50464e-72
96	74	7.83415e-74
97	39	8.27681e-73
98	53	2.59259e-73
99	47	4.06486e-73
100	24	5.49957e-72
101	78	6.55175e-74
102	56	2.11547e-73
103	32	1.78029e-72
104	68	1.05099e-73
105	59	1.74779e-73
106	49	3.47485e-73
107	30	2.29013e-72
108	5	2.83874e-69
109	53	2.59259e-73
110	70	9.49465e-74
